Position,Track Name,Artist,Streams,URL
82,lovely (with Khalid),Billie Eilish,1013149,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,HIGHEST IN THE ROOM,Travis Scott,1005111,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
84,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,994984,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
85,bad guy,Billie Eilish,984318,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
86,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,982457,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
87,Toosie Slide,Drake,970570,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
88,ily (i love you baby) (feat. Emilee),Surf Mesa,965952,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
89,Kings & Queens,Ava Max,961095,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
90,Tusa,KAROL G,950067,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
91,Tick Tock (feat. 24kGoldn),Clean Bandit,948157,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
92,Shallow,Lady Gaga,947518,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
93,Diamonds,Sam Smith,947308,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
94,Recairei - Ao Vivo,Os Barões Da Pisadinha,942163,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
95,Jerusalema (feat. Nomcebo Zikode),Master KG,941277,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
96,Sweater Weather,The Neighbourhood,934325,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
97,If the World Was Ending - feat. Julia Michaels,JP Saxe,933481,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
98,Bet You Wanna (feat. Cardi B),BLACKPINK,925986,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
99,SICKO MODE,Travis Scott,921469,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
100,Party Girl,StaySolidRocky,918779,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
101,Intentions (feat. Quavo),Justin Bieber,910002,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
102,Electric Love,BØRNS,905608,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
103,Break My Heart,Dua Lipa,903626,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
104,Falling,Harry Styles,901413,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
105,Runnin,21 Savage,893962,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
106,Angeklagt,Bonez MC,892544,https://open.spotify.com/track/3pJa2fy3VW7Uxrzzz0k1A7
107,Believer,Imagine Dragons,885583,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,ROXANNE,Arizona Zervas,876860,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
109,7 rings,Ariana Grande,876035,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
110,Say You Won't Let Go,James Arthur,868360,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
111,Djadja (feat. Maluma) - Remix,Aya Nakamura,862884,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
112,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,859759,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
113,Dior,Pop Smoke,856284,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
114,Life Is Good (feat. Drake),Future,854085,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
115,Azul,J Balvin,848932,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
116,All Girls Are The Same,Juice WRLD,841951,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
117,You Got It,Vedo,836669,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
118,Investe Em Mim,Jonas Esticado,828648,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
119,Smile (with The Weeknd),Juice WRLD,825921,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
120,Me Gusta (with Cardi B & Myke Towers),Anitta,821594,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
121,Jocelyn Flores,XXXTENTACION,821423,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
